338	هل يوجد علاقة بين أجزاء الدّماغ وقدرات الإنسان؟
339	هل هناك فرق بين العقل والدماغ؟
341	هل ورد في القرآن إشارة لصوت ذي تأثير إيجابي على جسم الإنسان؟
343	هل الضوء هو النور في القرآن؟
344	ما هي المنافع الصحية لصلاة الفجر؟
345	هل ذكر القرآن أوقات نوم معيّنة؟
347	هل هناك إشارات في القرآن إلى كروية الأرض؟
348	لماذا تلبس المرأة المسلمة الحجاب؟
349	لماذا قام العبد الذي آتاه الله العلم في سورة الكهف بقتل الغلام مع ان في الآية 93  من سورة النساء قال الله تعالى: "من يقتل مؤمنا متعمدا فجزاؤه جهنم خالدا فيها وغضب اللـه عليه ولعنه وأعد له عذابا عظيما"؟
350	ما هي الآيات التي ذكر فيها الشفاء؟
351	هل يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع؟
354	هل  لفظ (العام) مثل لفظ (السّنة) في القرآن؟
356	ما هي أنواع الجهاد؟
357	ما هو فضل الجهاد في سبيل الله؟
358	هل هناك فرق بين فرض العين وفرض الكفاية؟
361	ما الدلائل على أن هناك اختلاف بين الرسول  والنبي؟
362	هل استخدم لفظ (المطر) في القرآن للعذاب فقط؟
363	هل كلمة (صوم) في القرآن لا تعني صياما عن الأكل والشرب؟
364	لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان "من يضلل الله فما له من هاد" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟
365	هل هناك إشارات في القرآن عن نهاية الكيان الصهيوني؟
367	من هم الشفعاء؟
368	ما هي عقوبة من يتهم المرأة بالزنا بغير دليل؟
369	ما الدلائل على أن المسيح لم يصلب؟
370	ما هي شروط الشفاعة؟
371	هل كان سيدنا يوسف عليه السلام رسولا أم نبيا؟
372	ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟
373	هل سيدنا محمد (ص) هو أول المسلمين؟
374	كيف يكون سيدنا محمد (ص) هو أول المسلمين (الأنعام:163 و غافر: 12) مع أن سيدنا إبراهيم كان حنيفا مسلما قبله (آل عمران:67)؟
391	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح سبي النساء، كيف نرد على ذلك؟"
375	لماذا لا تعادل شهادة مرأة واحدة بشهادة رجل واحد في الأمور المالية أو ما هو متعلق بالأمور المالية؟
376	هل تجوز شهادة أربعة نساء بدلا من رجلين في الأمور المالية أو ما هو متعلق بالأمور المالية؟
378	إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟
379	لماذا يتوضأ المسلمون؟
380	ما الغاية من الوضوء قبل الصلاة؟
381	"مقاتلو داعش مثلا أو المفسدون في الأرض من التنظيمات الإرهابية، يتوضؤون أيضا، فهل هذا يجعلهم أطهارا؟"
382	"لو كان الوضوء للنظافة، لماذا علينا إعادته بعد خروج الريح؟"
385	مع أن السؤال هو أساس كل العلوم، لماذا نهى الله المؤمنين عن طرح الأسئلة كما جاء في سورة المائدة آية 101؟
387	ألا يعد تكليف المؤمن بالثبات أمام عشرة (الأنفال:65) تكليفا بما لا يطاق؟
388	"هل التعبير ""الآن خفف الله عنكم وعلم أن فيكم ضعفا"" (الأنفال:66) يعني بأن الله لم يكن يعلم وهو من المفترض أن الله عالم بالغيب؟"
389	ما الدليل على أن القرآن صالح لكل مكان وزمان؟
392	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح ضرب  النساء في حالة النشوز، كيف نرد على ذلك؟"
393	اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح التكفير وقتال الكفار حتى يسلموا، كيف نرد على ذلك؟
394	"اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه فرض الجزية على غير المسلمين، كيف نرد على ذلك؟"
395	لماذا حرم الله التبني؟
396	لماذا أباح القرآن حرمة الأشهر الحرم؟
398	هل بعثة النبي محمد تشمل الجن مع الإنس؟
399	هل تحدث سيدنا محمد مع الجن؟
400	متى يحل الإسلام دم الشخص؟
401	هل أخبر القرآن عن الذرّة؟
402	هل ذكر القرآن أن الإنجيل تم تحريفه؟
404	هل مات المسيح بالفعل؟
405	هل أشار القرآن الى نقص الأكسجين في المرتفعات؟
407	هل ذكر القرآن أن التوراة تم تحريفها؟
408	ما حكم من يرتد عن دين الإسلام؟
409	هل تحدثت الحيوانات في القرآن؟
410	هل يجوز معاملة أهل الكتاب بالبر والحسنى؟
411	هل لم يتغير أي حرف من القرآن؟
412	لماذا لم يساوِ الإسلام بين الرجل والمرأة في الشهادة أمام القاضي؟
413	هل يجوز سبي النساء واسترقاقهن كما تفعله بعض الجهات المنتسبة للإسلام بالباطل؟
414	لماذا لا يكتفي المسلمون بالقرآن الكريم ويلجأون للسنة أيضاً؟
415	هل هناك إسلام بدون الحديث الشريف؟
416	هل الإسلام دين سلام؟
417	هل سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام؟
418	"سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام (لا إكراه في الدين)، ولكن لماذا رفض لمن دخل في الإسلام الخروج منه ولم يجعله حراً؟"
421	هل وجود قراءات مختلفة للقرآن لا يعني تحريفه؟
422	ما هي الأماكن التي ذُكرت في القرآن كأماكن مقدسة؟
423	لماذا لم يتم حذف الآيات المنسوخة من القرآن؟
425	هل سيدنا محمد هو أفضل الأنبياء؟
426	هل حذر القرآن المؤمنين من اتخاذ أهل الكتاب أولياء لهم؟
427	بأي طريقة حث القرآن المؤمنين على مجادلة أهل الكتاب؟
